DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400200,237,3,1,3,"899,160107631136",marzo,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,consideró innecesario,no,2018
400202,237,2,1,2,"752,987737425841",junio,este municipio,atraco,noche,Calle/Avenida,si,si,no,no,no,no,si,no,si,no,no,no,,,,,,desconfianza en la justicia,no,2018
400202,237,3,1,3,"752,987737425841",diciembre,este municipio,descuido,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,,,,no,2018
400203,237,1,1,1,"844,041463472488",mayo,este municipio,atraco,noche,Calle/Avenida,no,no,no,no,si,no,si,no,si,no,si,si,Fiscalía,fiscalia,justicia,no,trato inadecuado,,no,2018
400206,237,1,1,1,"814,000933778796",octubre,este municipio,atraco,noche,Calle/Avenida,si,si,no,no,no,no,si,no,no,no,no,si,Fiscalía,fiscalia,recuperar bienes,no,info imprecisa,,no,2018
400211,237,2,1,2,"982,450669599849",junio,este municipio,cosquilleo,noche,Transporte público,si,no,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
400215,237,2,1,2,"54,7117260251187",mayo,este municipio,raponazo,,Transporte público,si,si,no,no,no,no,no,no,no,no,no,no,,,,,,miedo a represalias,no,2018
400217,237,4,1,4,"48,4264855128879",mayo,este municipio,descuido,madrugada,Trabajo/Estudio,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
400219,237,2,1,2,"58,2139119218117",diciembre,este municipio,descuido,noche,Residencia propia,si,no,si,si,no,no,no,no,no,no,no,no,,,,,,implicación de conocidos,no,2018
400220,237,2,1,2,"49,570401565667",diciembre,este municipio,cosquilleo,noche,Parque/Deporte,si,no,no,no,no,,,,,,no,no,,,,,,consideró innecesario,no,2018
400222,237,2,1,2,"53,6196033285781",octubre,este municipio,cosquilleo,madrugada,Calle/Avenida,si,no,no,no,no,,,,,,no,no,,,,,,consideró innecesario,no,2018
400225,237,1,1,1,"68,5518387187553",junio,este municipio,cosquilleo,madrugada,Calle/Avenida,no,si,no,no,no,,,,,,no,no,,,,,,consideró innecesario,no,2018
400231,237,2,1,2,"74,6186403751385",mayo,este municipio,raponazo,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400243,237,1,1,1,"809,494446693097",agosto,este municipio,descuido,mañana,Vehículo,no,si,no,no,no,no,no,no,no,no,si,no,,,,,,trámites engorrosos,no,2018
400244,237,2,1,2,"812,971818637909",marzo,este municipio,raponazo,noche,Calle/Avenida,si,no,no,si,no,no,no,no,si,no,si,si,denuncias en línea,policia,requisito para tramite,,,,no,2018
400272,237,2,1,2,"55,2006125613538",enero,este municipio,descuido,mañana,Trabajo/Estudio,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,otro problema,no,2018
400276,237,1,1,1,"559,160803360834",octubre,este municipio,descuido,tarde,Trabajo/Estudio,no,no,no,no,si,no,no,no,no,no,si,si,Estación de Policía,policia,justicia,no,trato inadecuado,,no,2018
400278,237,3,1,3,"903,775884483406",noviembre,este municipio,engaño,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
400281,237,1,1,1,"360,098336767568",septiembre,este municipio,engaño,tarde,Otro lugar,no,si,no,no,no,no,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
400283,237,3,1,3,"251,61623616236",julio,este municipio,atraco,tarde,Residencia propia,si,si,si,no,no,no,no,no,no,no,no,si,Fiscalía,policia,recuperar bienes,si,,,no,2018
400296,237,2,1,2,"783,055057781396",julio,este municipio,descuido,noche,Residencia propia,no,si,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400296,237,3,1,3,"783,055057781396",septiembre,este municipio,descuido,noche,Residencia propia,no,si,si,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400297,237,1,1,1,"459,137671760273",marzo,este municipio,descuido,tarde,Residencia propia,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400297,237,2,3,2,"459,137671760273",abril,este municipio,engaño,noche,Trabajo/Estudio,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,implicación de conocidos,no,2018
400301,237,1,1,1,"611,504422274953",septiembre,este municipio,cosquilleo,noche,Calle/Avenida,si,no,si,no,no,,,,,,si,si,Fiscalía,fiscalia,recuperar bienes,si,,,no,2018
400302,237,1,1,1,"459,628898172831",noviembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
400307,237,2,1,2,"519,276793054814",abril,este municipio,raponazo,noche,Calle/Avenida,si,no,si,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400313,237,2,1,2,"385,702453987731",abril,este municipio,atraco,tarde,Calle/Avenida,no,si,no,no,no,si,no,no,no,no,no,no,,,,,,implicación de conocidos,no,2018
400314,237,1,1,1,"1476,28007839154",octubre,este municipio,atraco,noche,Calle/Avenida,si,no,si,no,no,si,no,no,no,no,no,si,Estación de Policía,policia,recuperar bienes,si,,,no,2018
400316,237,6,1,6,"385,702453987731",febrero,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,,,,no,2018
400316,237,2,1,2,"385,702453987731",noviembre,este municipio,descuido,mañana,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,si,Estación de Policía,policia,recuperar bienes,no,requisitos excesivos,,no,2018
400326,237,1,1,1,"985,639340393116",septiembre,este municipio,atraco,noche,Calle/Avenida,no,si,si,no,no,si,no,no,no,no,no,si,Fiscalía,fiscalia,evitar ocurrencia,si,,,no,2018
400335,237,1,1,1,"65,2190791456925",junio,este municipio,raponazo,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400335,237,2,1,2,"65,2190791456925",febrero,este municipio,raponazo,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400340,237,3,1,3,"72,9277084561412",junio,este municipio,raponazo,noche,Calle/Avenida,no,si,si,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400342,237,1,1,1,"79,9367285169458",diciembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400343,237,2,1,2,"84,1626571132073",junio,este municipio,raponazo,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400345,237,2,1,2,"40,7178562024391",agosto,este municipio,raponazo,noche,Calle/Avenida,si,si,si,no,no,no,no,no,no,no,no,si,Estación de Policía,policia,justicia,si,,,no,2018
400362,237,1,1,1,"71,3237399876491",marzo,este municipio,atraco,mañana,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
400375,237,1,1,1,"183,667387428592",septiembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,si,no,no,no,no,si,C.A.I.,policia,justicia,si,,,no,2018
400380,237,5,1,5,"86,4904051302732",septiembre,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
400381,237,1,1,1,"137,103677437511",noviembre,otro,atraco,tarde,Calle/Avenida,no,si,no,no,no,si,no,no,no,no,si,no,,,,,,desconfianza en la justicia,no,2018
400382,237,4,1,4,"55,7829820361952",marzo,este municipio,descuido,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
400385,237,1,1,1,"21,8911094034605",septiembre,este municipio,cosquilleo,tarde,Transporte público,no,si,no,no,no,,,,,,no,si,Estación de Policía,policia,evitar ocurrencia,si,,,no,2018
400387,237,1,1,1,"21,26391692282",diciembre,este municipio,raponazo,tarde,Calle/Avenida,no,no,si,no,no,no,no,no,si,no,no,no,,,,,,consideró innecesario,no,2018
400396,237,2,1,2,"74,0249639856668",junio,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,,,,no,2018
400400,237,3,1,3,"69,2664684819138",mayo,este municipio,atraco,mañana,Mercado/Comercio,si,si,no,no,no,si,no,no,no,no,no,si,C.A.I.,policia,otro,si,,,no,2018
400400,237,4,1,4,"69,2664684819138",mayo,este municipio,engaño,tarde,Residencia propia,no,no,si,no,no,no,no,no,si,no,no,no,,,,,,consideró innecesario,no,2018
400411,237,2,1,2,"82,9853686078911",febrero,este municipio,raponazo,mañana,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,si,2018
