DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400200,237,3,1,3,"899,160107631136",3,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400202,237,2,1,2,"752,987737425841",6,1,4,4,2,1,1,2,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,3.0,2,2018
400202,237,3,1,3,"752,987737425841",12,1,7,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,1.0,4.0,,,,2,2018
400203,237,1,1,1,"844,041463472488",5,1,4,4,2,2,2,2,2,1,2.0,1.0,2.0,1.0,2.0,1,1,2.0,2.0,2.0,2.0,2.0,,2,2018
400206,237,1,1,1,"814,000933778796",10,1,4,4,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,2.0,2.0,5.0,2.0,1.0,,2,2018
400211,237,2,1,2,"982,450669599849",6,1,1,4,5,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2,2018
400215,237,2,1,2,"54,7117260251187",5,1,3,9,5,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2,2018
400217,237,4,1,4,"48,4264855128879",5,1,7,1,1,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400219,237,2,1,2,"58,2139119218117",12,1,7,4,7,1,2,1,1,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2,2018
400220,237,2,1,2,"49,570401565667",12,1,1,4,4,1,2,2,2,2,,,,,,2,2,,,,,,5.0,2,2018
400222,237,2,1,2,"53,6196033285781",10,1,1,1,2,1,2,2,2,2,,,,,,2,2,,,,,,5.0,2,2018
400225,237,1,1,1,"68,5518387187553",6,1,1,1,2,2,1,2,2,2,,,,,,2,2,,,,,,5.0,2,2018
