mes_ultimo_unico_robo,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
diciembre,descuido,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,raponazo,noche,Calle/Avenida,si,no,no,si,no,no,no,no,si,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,atraco,tarde,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,descuido,mañana,Calle/Avenida,no,no,si,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,atraco,tarde,Vehículo,no,si,si,no,no,si,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,si,2018
marzo,atraco,mañana,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,si,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,atraco,mañana,Calle/Avenida,si,si,no,no,no,si,no,no,si,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,raponazo,tarde,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,si,2018
noviembre,atraco,madrugada,Calle/Avenida,si,si,si,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,descuido,madrugada,Otro lugar,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,descuido,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,noche,Calle/Avenida,si,si,si,no,no,no,si,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,atraco,tarde,Transporte público,si,si,si,no,no,no,no,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,descuido,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,madrugada,Calle/Avenida,si,no,si,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,tarde,Calle/Avenida,si,si,si,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,descuido,tarde,Mercado/Comercio,no,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,cosquilleo,noche,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,cosquilleo,mañana,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,fiscalia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,fiscalia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,descuido,mañana,Transporte público,si,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,cosquilleo,tarde,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,atraco,madrugada,Parque/Deporte,si,si,no,no,no,no,no,no,si,no,si,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,cosquilleo,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,cosquilleo,mañana,Transporte público,no,no,no,si,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,cosquilleo,madrugada,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,atraco,noche,Trabajo/Estudio,si,si,no,no,si,si,no,no,no,no,si,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,tarde,Mercado/Comercio,si,si,no,no,no,no,no,no,si,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,cosquilleo,noche,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,cosquilleo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,atraco,madrugada,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,descuido,mañana,Trabajo/Estudio,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,descuido,noche,Residencia propia,no,no,si,no,no,no,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,noche,Calle/Avenida,si,si,si,no,no,no,si,no,si,no,no,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,atraco,mañana,Otro lugar,no,si,si,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,raponazo,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,cosquilleo,tarde,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,raponazo,mañana,Calle/Avenida,si,si,si,si,no,no,no,no,si,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,cosquilleo,mañana,Mercado/Comercio,si,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,raponazo,noche,Calle/Avenida,si,si,si,no,no,no,no,no,si,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
