DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318;FEX_C
400200;237;3;1;3;3;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;899,160107631136
400202;237;2;1;2;6;1;4;4;2;1;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;3;2;752,987737425841
400202;237;3;1;3;12;1;7;4;2;1;2;2;2;2;2;2;2;2;2;2;1;4;1;4; ; ; ;2;752,987737425841
400203;237;1;1;1;5;1;4;4;2;2;2;2;2;1;2;1;2;1;2;1;1;2;2;2;2;2; ;2;844,041463472488
400206;237;1;1;1;10;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;5;2;1; ;2;814,000933778796
400211;237;2;1;2;6;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;982,450669599849
400215;237;2;1;2;5;1;3;9;5;1;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;2;2;54,7117260251187
400217;237;4;1;4;5;1;7;1;1;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;48,4264855128879
400219;237;2;1;2;12;1;7;4;7;1;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;4;2;58,2139119218117
400220;237;2;1;2;12;1;1;4;4;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;49,570401565667
400222;237;2;1;2;10;1;1;1;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;53,6196033285781
400225;237;1;1;1;6;1;1;1;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;68,5518387187553
