DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318
599141;237;1;1;1;200,178577803532;3;1;4;2;2;1;1;2;2;2;1;1;2;2;2;1;2; ; ; ; ; ;3;2
599142;237;7;1;7;63,5390215990431;10;1;4;3;3;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
599144;237;1;1;1;268,348884699023;12;1;4;4;3;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599166;237;3;1;3;254,156086396172;8;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
599179;237;2;1;2;266,678131917327;2;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
599190;237;1;1;1;154,577090731342;11;1;3;4;2;1;1;2;2;2;1;2;2;2;2;1;1;3;1;5;1; ; ;2
599190;237;4;1;4;154,577090731342;6;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;1
599244;237;4;1;4;373,901701995929;3;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;5;1; ; ;2
599262;237;1;1;1;999,476344989467;5;1;4;2;2;1;2;2;2;2;1;2;2;1;2;2;2; ; ; ; ; ;3;2
599265;237;1;1;1;1027,41619734899;3;1;3;4;1;1;1;2;2;2;2;2;2;2;2;1;1;3;1;4;1; ; ;2
599269;237;2;1;2;609,361572068465;11;1;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
599278;237;2;1;2;691,600319696684;9;1;4;3;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;5;1; ; ;2
599281;237;3;1;3;141,780476412892;11;1;4;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2
599282;237;1;1;1;141,780476412892;12;1;4;2;7;1;2;2;2;2;1;2;2;2;2;1;1;1;1;5;1; ; ;2
599334;237;1;1;1;1048,74112143546;2;1;4;1;5;1;1;1;2;2;1;1;2;1;2;1;1;3;1;1;2;1; ;2
599337;237;1;1;1;1387,97538711115;6;1;4;4;2;1;1;2;2;2;2;1;2;1;2;1;1;4; ;2; ; ; ;2
599338;237;2;1;2;1389,67630020532;12;1;4;4;8;1;1;2;2;2;1;2;2;1;2;2;1;3;1;5;2;1; ;2
599338;237;4;1;4;1389,67630020532;12;1;4;4;8;2;1;2;2;2;1;2;2;2;2;2;1;3;1;2;2;4; ;2
599341;237;1;1;1;1029,16552735767;11;1;1;4;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2
