DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto
501448,237,1,1,1,"102,027982509886",1,1,3,4,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
501461,237,5,1,5,"894,60417250822",11,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501462,237,3,1,3,"1128,17291484458",11,1,3,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
501469,237,2,1,2,"937,833352612982",7,1,1,3,2,1,2,2,2,2,,,,,,1,1,4.0,,1.0,,,,2
501470,237,2,1,2,"617,006567029324",12,1,3,3,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,1.0,,,2
501472,237,3,1,3,"841,204881265441",6,1,4,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
501475,237,1,1,1,"472,194523621235",6,1,3,4,2,2,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
501483,237,2,1,2,"124,731218664976",12,2,1,3,5,1,2,2,2,1,,,,,,2,2,,,,,,8.0,2
501485,237,1,1,1,"112,086439336576",6,1,7,3,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,1
501501,237,1,1,1,"108,237480267757",1,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501509,237,1,1,1,"67,9069245555448",2,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,8.0,2
501518,237,2,1,2,"328,260004754326",8,1,4,1,2,1,1,1,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,2.0,2
501528,237,1,1,1,"294,715368769141",11,1,7,3,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501531,237,3,1,3,"257,905658550088",11,1,3,4,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501533,237,3,1,3,"257,905658550088",1,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501537,237,1,1,1,"781,94618410021",8,1,7,2,11,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501539,237,1,1,1,"405,004164472186",12,1,4,2,2,1,2,2,2,2,1.0,1.0,2.0,2.0,2.0,2,1,2.0,2.0,5.0,1.0,,,1
501541,237,1,1,1,"657,19712580469",8,1,7,4,2,2,2,2,2,1,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,1.0,2.0,1.0,,2
501542,237,3,1,3,"858,042588772404",5,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,1.0,1.0,,,2
501543,237,3,1,3,"655,613312472735",7,1,7,4,7,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501552,237,6,1,6,"493,281625364781",6,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501580,237,3,1,3,"460,133216887375",4,1,3,3,3,1,1,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
501588,237,1,1,1,"59,3520827172958",3,2,1,3,3,1,2,2,2,2,,,,,,2,2,,,,,,6.0,2
501595,237,3,1,3,"68,6868879163544",1,2,3,2,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
501596,237,1,1,1,"68,247255765681",10,1,4,4,2,1,1,2,1,2,2.0,1.0,2.0,2.0,2.0,1,1,1.0,1.0,5.0,1.0,,,2
501601,237,2,1,2,"73,5749682782042",1,1,7,3,7,2,2,2,1,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2
501603,237,1,1,1,"61,7844081339161",11,1,7,3,3,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501613,237,1,1,1,"72,2217613127613",8,1,3,3,2,2,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,4.0,2
501630,237,2,1,2,"813,441580482162",3,1,3,2,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
501642,237,2,1,2,"606,234515185669",2,1,3,3,2,2,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501652,237,1,1,1,"92,0464413358518",7,1,3,3,3,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
501667,237,2,1,2,"83,5410048188114",6,1,4,2,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,3.0,1.0,1.0,1.0,,,2
501673,237,1,1,1,"52,0025046288846",9,1,7,4,2,2,2,2,2,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
501706,237,3,1,3,"981,762885640035",6,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501720,237,1,1,1,"626,328286738519",6,1,3,2,2,2,1,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,7.0,2
501733,237,1,1,1,"774,922509771504",6,1,4,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,1,3.0,1.0,2.0,2.0,4.0,,2
501743,237,1,1,1,"58,043701711774",10,1,7,3,7,2,2,2,2,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501744,237,1,1,1,"70,4638587653343",3,1,2,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501745,237,1,1,1,"56,9102096313005",12,1,7,3,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,1
501746,237,3,1,3,"72,731072159886",12,1,1,3,2,1,2,2,2,2,,,,,,2,2,,,,,,1.0,2
501751,237,1,1,1,"58,4416337856869",1,1,1,2,2,2,1,2,2,2,,,,,,2,2,,,,,,1.0,2
501756,237,3,1,3,"69,9889641174847",2,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
501784,237,1,1,1,"712,920919553904",2,1,7,3,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501792,237,3,1,3,"406,353981925937",7,1,1,3,1,1,2,2,2,2,,,,,,2,2,,,,,,1.0,2
501792,237,2,1,2,"406,353981925937",6,1,7,3,9,1,1,1,2,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501795,237,2,1,2,"347,276335642499",8,1,4,4,2,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501800,237,3,1,3,"270,190913822496",1,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2
501809,237,2,1,2,"350,455723155903",7,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
501809,237,6,2,1,"350,455723155903",6,1,4,2,5,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
501820,237,1,1,1,"47,1737846827915",4,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
501822,237,1,1,1,"92,117895264435",3,1,4,3,2,2,2,1,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,4.0,2.0,3.0,,2
501832,237,2,1,2,"39,0363874328295",3,1,4,2,7,1,1,2,1,2,2.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,2.0,2.0,3.0,,2
501842,237,1,1,1,"38,0926569654508",10,1,4,4,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,1,1,4.0,,3.0,,,,2
501842,237,3,1,3,"38,0926569654508",1,1,4,1,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,6.0,2.0,1.0,,2
